Declined	Declination	Number	Gender	Word	Translation	State	End	Case
pokoju	Locative	Singular	Masculine	pokój	room		-Ś	-Ś
koniem	Instrumental	Singular	Masculine	koń	horse		-Ś	-Ś
słoniem	Instrumental	Singular	Masculine	słoń	elephant		-Ś	-Ś
mężczyznę	Accusative	Singular	Masculine	mężczyzna	man		-a	-V: -a
mężczyzną	Instrumental	Singular	Masculine	mężczyzna	man		-a	-V: -a
tatę	Accusative	Singular	Masculine	tata	dad	Personal	-a	-V: -a
tatą	Instrumental	Singular	Masculine	tata	dad	Personal	-a	-V: -a
mężczyźnie	Dative	Singular	Masculine	mężczyzna	man		-a	-V: *
mężczyzny	Genitive	Singular	Masculine	mężczyzna	man		-a	-V: *
mężczyźnie	Locative	Singular	Masculine	mężczyzna	man		-a	-V: *
taty	Genitive	Singular	Masculine	tata	dad	Personal	-a	-V: *
światem	Instrumental	Singular	Masculine	świat	world		-C	*
nożem	Instrumental	Singular	Masculine	nóż	knife		-S	*
pomarańczem	Instrumental	Singular	Masculine	pomarańcz	orange		-S	*
talerzem	Instrumental	Singular	Masculine	talerz	plate		-S	*
doktorem	Instrumental	Singular	Masculine	doktor	doctor	Personal	-C	*
koszmarem	Instrumental	Singular	Masculine	koszmar	nightmare	Impersonal	-C	*
metrem	Instrumental	Singular	Masculine	metr	meter	Impersonal	-C	*
obiadem	Instrumental	Singular	Masculine	obiad	dinner		-C	*
serem	Instrumental	Singular	Masculine	ser	cheese		-C	*
butem	Instrumental	Singular	Masculine	but	shoe	Impersonal	-C	*
długopisem	Instrumental	Singular	Masculine	długopis	pen	Impersonal	-C	*
przyjacielem	Instrumental	Singular	Masculine	przyjaciel	friend		-S	*
kolorem	Instrumental	Singular	Masculine	kolor	colour	Impersonal	-C	*
listem	Instrumental	Singular	Masculine	list	letter	Impersonal	-C	*
samochodem	Instrumental	Singular	Masculine	samochód	car		-C	*
bratem	Instrumental	Singular	Masculine	brat	brother	Personal	-C	*
synem	Instrumental	Singular	Masculine	syn	son	Personal	-C	*
kotem	Instrumental	Singular	Masculine	kot	cat		-C	*
owocem	Instrumental	Singular	Masculine	owoc	fruit	Impersonal	-S	*
kelnerem	Instrumental	Singular	Masculine	kelner	waiter	Personal	-C	*
pomidorem	Instrumental	Singular	Masculine	pomidor	tomato	Impersonal	-C	*
problemem	Instrumental	Singular	Masculine	problem	problem	Impersonal	-C	*
kwiatem	Instrumental	Singular	Masculine	kwiat	flower		-C	*
kluczem	Instrumental	Singular	Masculine	klucz	key		-S	*
stołem	Instrumental	Singular	Masculine	stół	table		-C	*
deszczem	Instrumental	Singular	Masculine	deszcz	rain		-S	*
miesiącem	Instrumental	Singular	Masculine	miesiąc	month	Impersonal	-S	*
chlebem	Instrumental	Singular	Masculine	chleb	bread	Impersonal	-C	*
kapeluszem	Instrumental	Singular	Masculine	kapelusz	hat		-S	*
wieczorem	Instrumental	Singular	Masculine	wieczór	evening	Impersonal	-C	*
doktora	Accusative	Singular	Masculine	doktor	doctor	Personal	-C	A
doktora	Genitive	Singular	Masculine	doktor	doctor	Personal	-C	A
przyjaciela	Accusative	Singular	Masculine	przyjaciel	friend		-S	A
przyjaciela	Genitive	Singular	Masculine	przyjaciel	friend		-S	A
brata	Accusative	Singular	Masculine	brat	brother	Personal	-C	A
syna	Accusative	Singular	Masculine	syn	son	Personal	-C	A
kota	Accusative	Singular	Masculine	kot	cat		-C	A
buziaka	Accusative	Singular	Masculine	buziak	kiss	Impersonal	-C	A
kelnera	Accusative	Singular	Masculine	kelner	waiter	Personal	-C	A
ptaka	Accusative	Singular	Masculine	ptak	bird		-C	A
brata	Genitive	Singular	Masculine	brat	brother	Personal	-C	A
syna	Genitive	Singular	Masculine	syn	son	Personal	-C	A
kota	Genitive	Singular	Masculine	kot	cat		-C	A
kelnera	Genitive	Singular	Masculine	kelner	waiter	Personal	-C	A
ptaka	Genitive	Singular	Masculine	ptak	bird		-C	A
pająka	Accusative	Singular	Masculine	pająk	spider		-C	A
pająka	Genitive	Singular	Masculine	pająk	spider		-C	A
świat	Accusative	Singular	Masculine	świat	world		-C	Ⱥ
widelec	Accusative	Singular	Masculine	widelec	fork		-ec	Ⱥ
nóż	Accusative	Singular	Masculine	nóż	knife		-S	Ⱥ
pomarańcz	Accusative	Singular	Masculine	pomarańcz	orange		-S	Ⱥ
talerz	Accusative	Singular	Masculine	talerz	plate		-S	Ⱥ
pomarańczu	Genitive	Singular	Masculine	pomarańcz	orange		-S	Ⱥ
rok	Accusative	Singular	Masculine	rok	year	Impersonal	-C	Ⱥ
roku	Genitive	Singular	Masculine	rok	year	Impersonal	-C	Ⱥ
dzień	Accusative	Singular	Masculine	dzień	day		-zień	Ⱥ
koszmar	Accusative	Singular	Masculine	koszmar	nightmare	Impersonal	-C	Ⱥ
metr	Accusative	Singular	Masculine	metr	meter	Impersonal	-C	Ⱥ
obiad	Accusative	Singular	Masculine	obiad	dinner		-C	Ⱥ
ser	Accusative	Singular	Masculine	ser	cheese		-C	Ⱥ
but	Accusative	Singular	Masculine	but	shoe	Impersonal	-C	Ⱥ
długopis	Accusative	Singular	Masculine	długopis	pen	Impersonal	-C	Ⱥ
czerwiec	Accusative	Singular	Masculine	czerwiec	june	Impersonal	-iec	Ⱥ
lipiec	Accusative	Singular	Masculine	lipiec	july	Impersonal	-iec	Ⱥ
koszmaru	Genitive	Singular	Masculine	koszmar	nightmare	Impersonal	-C	Ⱥ
obiadu	Genitive	Singular	Masculine	obiad	dinner		-C	Ⱥ
długopisu	Genitive	Singular	Masculine	długopis	pen	Impersonal	-C	Ⱥ
pokój	Accusative	Singular	Masculine	pokój	room		-Ś	Ⱥ
pokoju	Genitive	Singular	Masculine	pokój	room		-Ś	Ⱥ
kolor	Accusative	Singular	Masculine	kolor	colour	Impersonal	-C	Ⱥ
koloru	Genitive	Singular	Masculine	kolor	colour	Impersonal	-C	Ⱥ
list	Accusative	Singular	Masculine	list	letter	Impersonal	-C	Ⱥ
listu	Genitive	Singular	Masculine	list	letter	Impersonal	-C	Ⱥ
samochód	Accusative	Singular	Masculine	samochód	car		-C	Ⱥ
samochodu	Genitive	Singular	Masculine	samochód	car		-C	Ⱥ
palec	Accusative	Singular	Masculine	palec	finger	Impersonal	-ec	Ⱥ
owoc	Accusative	Singular	Masculine	owoc	fruit	Impersonal	-S	Ⱥ
pomidor	Accusative	Singular	Masculine	pomidor	tomato	Impersonal	-C	Ⱥ
piątek	Accusative	Singular	Masculine	piątek	Friday	Impersonal	-ek	Ⱥ
poniedziałek	Accusative	Singular	Masculine	poniedziałek	Monday	Impersonal	-ek	Ⱥ
ranek	Accusative	Singular	Masculine	ranek	morning	Impersonal	-ek	Ⱥ
owocu	Genitive	Singular	Masculine	owoc	fruit	Impersonal	-S	Ⱥ
problem	Accusative	Singular	Masculine	problem	problem	Impersonal	-C	Ⱥ
problemu	Genitive	Singular	Masculine	problem	problem	Impersonal	-C	Ⱥ
kwiat	Accusative	Singular	Masculine	kwiat	flower		-C	Ⱥ
klucz	Accusative	Singular	Masculine	klucz	key		-S	Ⱥ
kwiatu	Genitive	Singular	Masculine	kwiat	flower		-C	Ⱥ
tydzień	Accusative	Singular	Masculine	tydzień	week	Impersonal	-zień	Ⱥ
stół	Accusative	Singular	Masculine	stół	table		-C	Ⱥ
stołu	Genitive	Singular	Masculine	stół	table		-C	Ⱥ
deszcz	Accusative	Singular	Masculine	deszcz	rain		-S	Ⱥ
deszczu	Genitive	Singular	Masculine	deszcz	rain		-S	Ⱥ
koniec	Accusative	Singular	Masculine	koniec	end	Impersonal	-iec	Ⱥ
kubek	Accusative	Singular	Masculine	kubek	cup	Impersonal	-ek	Ⱥ
pociąg	Accusative	Singular	Masculine	pociąg	train	Impersonal	-C	Ⱥ
pociągu	Genitive	Singular	Masculine	pociąg	train	Impersonal	-C	Ⱥ
miesiąc	Accusative	Singular	Masculine	miesiąc	month	Impersonal	-S	Ⱥ
chleb	Accusative	Singular	Masculine	chleb	bread	Impersonal	-C	Ⱥ
kapelusz	Accusative	Singular	Masculine	kapelusz	hat		-S	Ⱥ
burak	Accusative	Singular	Masculine	burak	beetroot	Impersonal	-C	Ⱥ
wieczór	Accusative	Singular	Masculine	wieczór	evening	Impersonal	-C	Ⱥ
marzec	Accusative	Singular	Masculine	marzec	march	Impersonal	-ec	Ⱥ
wtorek	Accusative	Singular	Masculine	wtorek	Tuesday	Impersonal	-ek	Ⱥ
wieczoru	Genitive	Singular	Masculine	wieczór	evening	Impersonal	-C	Ⱥ
bratu	Dative	Singular	Masculine	brat	brother	Personal	-C	Exception
synu	Locative	Singular	Masculine	syn	son	Personal	-C	Exception
buziaka	Genitive	Singular	Masculine	buziak	kiss	Impersonal	-C	α (body)
buta	Genitive	Singular	Masculine	but	shoe	Impersonal	-C	α (clothe)
kapelusza	Genitive	Singular	Masculine	kapelusz	hat		-S	α (clothe)
sera	Genitive	Singular	Masculine	ser	cheese		-C	α (food)
pomidora	Genitive	Singular	Masculine	pomidor	tomato	Impersonal	-C	α (food)
chleba	Genitive	Singular	Masculine	chleb	bread	Impersonal	-C	α (food)
buraka	Genitive	Singular	Masculine	burak	beetroot	Impersonal	-C	α (food)
świata	Genitive	Singular	Masculine	świat	world		-C	α (place)
miesiąca	Genitive	Singular	Masculine	miesiąc	month	Impersonal	-S	α (time)
noża	Genitive	Singular	Masculine	nóż	knife		-S	α (tool)
talerza	Genitive	Singular	Masculine	talerz	plate		-S	α (tool)
klucza	Genitive	Singular	Masculine	klucz	key		-S	α (tool)
metra	Genitive	Singular	Masculine	metr	meter	Impersonal	-C	α (unit)
mężczyznami	Instrumental	Plural	Masculine	mężczyzna	man		-a	-a
tatami	Instrumental	Plural	Masculine	tata	dad	Personal	-a	-a
drzwiach	Locative	Plural	Masculine	drzwi	door		-Ś	-i
pokojami	Instrumental	Plural	Masculine	pokój	room		-Ś	-j
pokojach	Locative	Plural	Masculine	pokój	room		-Ś	-j
noży	Genitive	Plural	Masculine	nóż	knife	Impersonal	-S	-S
talerzy	Genitive	Plural	Masculine	talerz	plate	Impersonal	-S	-S
noże	Nominative	Plural	Masculine	nóż	knife	Impersonal	-S	-S
pomarańcze	Nominative	Plural	Masculine	pomarańcz	orange	Impersonal	-S	-S
talerze	Nominative	Plural	Masculine	talerz	plate	Impersonal	-S	-S
przyjaciele	Nominative	Plural	Masculine	przyjaciel	friend	Personal	-S	-S
owoce	Nominative	Plural	Masculine	owoc	fruit	Impersonal	-S	-S
kluczy	Genitive	Plural	Masculine	klucz	key	Impersonal	-S	-S
klucze	Nominative	Plural	Masculine	klucz	key	Impersonal	-S	-S
deszczy	Genitive	Plural	Masculine	deszcz	rain	Impersonal	-S	-S
deszcze	Nominative	Plural	Masculine	deszcz	rain	Impersonal	-S	-S
miesięcy	Genitive	Plural	Masculine	miesiąc	month	Impersonal	-S	-S
miesiące	Nominative	Plural	Masculine	miesiąc	month	Impersonal	-S	-S
kapeluszy	Genitive	Plural	Masculine	kapelusz	hat	Impersonal	-S	-S
kapelusze	Nominative	Plural	Masculine	kapelusz	hat	Impersonal	-S	-S
pokoi	Genitive	Plural	Masculine	pokój	room	Impersonal	-Ś	-Ś
pokoje	Nominative	Plural	Masculine	pokój	room	Impersonal	-Ś	-Ś
koni	Genitive	Plural	Masculine	koń	horse	Impersonal	-Ś	-Ś
konie	Nominative	Plural	Masculine	koń	horse	Impersonal	-Ś	-Ś
drzwi	Genitive	Plural	Masculine	drzwi	door		-Ś	-Ś
słoni	Genitive	Plural	Masculine	słoń	elephant	Impersonal	-Ś	-Ś
słonie	Nominative	Plural	Masculine	słoń	elephant	Impersonal	-Ś	-Ś
mężczyznach	Locative	Plural	Masculine	mężczyzna	man		-a	-V: *
tatach	Locative	Plural	Masculine	tata	dad	Personal	-a	-V: *
nożom	Dative	Plural	Masculine	nóż	knife		-S	*
pomarańczom	Dative	Plural	Masculine	pomarańcz	orange		-S	*
talerzom	Dative	Plural	Masculine	talerz	plate		-S	*
nożami	Instrumental	Plural	Masculine	nóż	knife		-S	*
pomarańczami	Instrumental	Plural	Masculine	pomarańcz	orange		-S	*
talerzami	Instrumental	Plural	Masculine	talerz	plate		-S	*
nożach	Locative	Plural	Masculine	nóż	knife		-S	*
pomarańczach	Locative	Plural	Masculine	pomarańcz	orange		-S	*
talerzach	Locative	Plural	Masculine	talerz	plate		-S	*
mężczyznom	Dative	Plural	Masculine	mężczyzna	man		-a	*
doktorom	Dative	Plural	Masculine	doktor	doctor	Personal	-C	*
koszmarom	Dative	Plural	Masculine	koszmar	nightmare	Impersonal	-C	*
metrom	Dative	Plural	Masculine	metr	meter	Impersonal	-C	*
obiadom	Dative	Plural	Masculine	obiad	dinner		-C	*
serom	Dative	Plural	Masculine	ser	cheese		-C	*
butom	Dative	Plural	Masculine	but	shoe	Impersonal	-C	*
długopisom	Dative	Plural	Masculine	długopis	pen	Impersonal	-C	*
doktorów	Genitive	Plural	Masculine	doktor	doctor	Personal	-C	*
koszmarów	Genitive	Plural	Masculine	koszmar	nightmare	Impersonal	-C	*
metrów	Genitive	Plural	Masculine	metr	meter	Impersonal	-C	*
obiadów	Genitive	Plural	Masculine	obiad	dinner	Impersonal	-C	*
serów	Genitive	Plural	Masculine	ser	cheese	Impersonal	-C	*
butów	Genitive	Plural	Masculine	but	shoe	Impersonal	-C	*
długopisów	Genitive	Plural	Masculine	długopis	pen	Impersonal	-C	*
doktorami	Instrumental	Plural	Masculine	doktor	doctor	Personal	-C	*
koszmarami	Instrumental	Plural	Masculine	koszmar	nightmare	Impersonal	-C	*
metrami	Instrumental	Plural	Masculine	metr	meter	Impersonal	-C	*
obiadami	Instrumental	Plural	Masculine	obiad	dinner		-C	*
serami	Instrumental	Plural	Masculine	ser	cheese		-C	*
butami	Instrumental	Plural	Masculine	but	shoe	Impersonal	-C	*
długopisami	Instrumental	Plural	Masculine	długopis	pen	Impersonal	-C	*
doktorach	Locative	Plural	Masculine	doktor	doctor	Personal	-C	*
koszmarach	Locative	Plural	Masculine	koszmar	nightmare	Impersonal	-C	*
metrach	Locative	Plural	Masculine	metr	meter	Impersonal	-C	*
obiadach	Locative	Plural	Masculine	obiad	dinner		-C	*
serach	Locative	Plural	Masculine	ser	cheese		-C	*
butach	Locative	Plural	Masculine	but	shoe	Impersonal	-C	*
długopisach	Locative	Plural	Masculine	długopis	pen	Impersonal	-C	*
pokojom	Dative	Plural	Masculine	pokój	room		-Ś	*
kolorom	Dative	Plural	Masculine	kolor	colour	Impersonal	-C	*
kolorów	Genitive	Plural	Masculine	kolor	colour	Impersonal	-C	*
kolorami	Instrumental	Plural	Masculine	kolor	colour	Impersonal	-C	*
kolorach	Locative	Plural	Masculine	kolor	colour	Impersonal	-C	*
listom	Dative	Plural	Masculine	list	letter	Impersonal	-C	*
listów	Genitive	Plural	Masculine	list	letter	Impersonal	-C	*
listami	Instrumental	Plural	Masculine	list	letter	Impersonal	-C	*
listach	Locative	Plural	Masculine	list	letter	Impersonal	-C	*
samochodom	Dative	Plural	Masculine	samochód	car		-C	*
samochodów	Genitive	Plural	Masculine	samochód	car	Impersonal	-C	*
samochodami	Instrumental	Plural	Masculine	samochód	car		-C	*
samochodach	Locative	Plural	Masculine	samochód	car		-C	*
synom	Dative	Plural	Masculine	syn	son	Personal	-C	*
kotom	Dative	Plural	Masculine	kot	cat		-C	*
owocom	Dative	Plural	Masculine	owoc	fruit	Impersonal	-S	*
buziakom	Dative	Plural	Masculine	buziak	kiss	Impersonal	-C	*
kelnerom	Dative	Plural	Masculine	kelner	waiter	Personal	-C	*
pomidorom	Dative	Plural	Masculine	pomidor	tomato	Impersonal	-C	*
ptakom	Dative	Plural	Masculine	ptak	bird		-C	*
synów	Genitive	Plural	Masculine	syn	son	Personal	-C	*
kotów	Genitive	Plural	Masculine	kot	cat	Impersonal	-C	*
buziaków	Genitive	Plural	Masculine	buziak	kiss	Impersonal	-C	*
kelnerów	Genitive	Plural	Masculine	kelner	waiter	Personal	-C	*
pomidorów	Genitive	Plural	Masculine	pomidor	tomato	Impersonal	-C	*
ptaków	Genitive	Plural	Masculine	ptak	bird	Impersonal	-C	*
synami	Instrumental	Plural	Masculine	syn	son	Personal	-C	*
kotami	Instrumental	Plural	Masculine	kot	cat		-C	*
owocami	Instrumental	Plural	Masculine	owoc	fruit	Impersonal	-S	*
buziakami	Instrumental	Plural	Masculine	buziak	kiss	Impersonal	-C	*
kelnerami	Instrumental	Plural	Masculine	kelner	waiter	Personal	-C	*
pomidorami	Instrumental	Plural	Masculine	pomidor	tomato	Impersonal	-C	*
ptakami	Instrumental	Plural	Masculine	ptak	bird		-C	*
synach	Locative	Plural	Masculine	syn	son	Personal	-C	*
kotach	Locative	Plural	Masculine	kot	cat		-C	*
owocach	Locative	Plural	Masculine	owoc	fruit	Impersonal	-S	*
buziakach	Locative	Plural	Masculine	buziak	kiss	Impersonal	-C	*
kelnerach	Locative	Plural	Masculine	kelner	waiter	Personal	-C	*
pomidorach	Locative	Plural	Masculine	pomidor	tomato	Impersonal	-C	*
ptakach	Locative	Plural	Masculine	ptak	bird		-C	*
drzwiom	Dative	Plural	Masculine	drzwi	door		-Ś	*
problemom	Dative	Plural	Masculine	problem	problem	Impersonal	-C	*
problemów	Genitive	Plural	Masculine	problem	problem	Impersonal	-C	*
problemami	Instrumental	Plural	Masculine	problem	problem	Impersonal	-C	*
problemach	Locative	Plural	Masculine	problem	problem	Impersonal	-C	*
kwiatom	Dative	Plural	Masculine	kwiat	flower		-C	*
kluczom	Dative	Plural	Masculine	klucz	key		-S	*
kwiatów	Genitive	Plural	Masculine	kwiat	flower	Impersonal	-C	*
kwiatami	Instrumental	Plural	Masculine	kwiat	flower		-C	*
kluczami	Instrumental	Plural	Masculine	klucz	key		-S	*
kwiatach	Locative	Plural	Masculine	kwiat	flower		-C	*
kluczach	Locative	Plural	Masculine	klucz	key		-S	*
stołom	Dative	Plural	Masculine	stół	table		-C	*
stołów	Genitive	Plural	Masculine	stół	table	Impersonal	-C	*
stołami	Instrumental	Plural	Masculine	stół	table		-C	*
stołach	Locative	Plural	Masculine	stół	table		-C	*
deszczom	Dative	Plural	Masculine	deszcz	rain		-S	*
deszczami	Instrumental	Plural	Masculine	deszcz	rain		-S	*
deszczach	Locative	Plural	Masculine	deszcz	rain		-S	*
pociągom	Dative	Plural	Masculine	pociąg	train	Impersonal	-C	*
pociągów	Genitive	Plural	Masculine	pociąg	train	Impersonal	-C	*
pociągami	Instrumental	Plural	Masculine	pociąg	train	Impersonal	-C	*
pociągach	Locative	Plural	Masculine	pociąg	train	Impersonal	-C	*
miesiącom	Dative	Plural	Masculine	miesiąc	month	Impersonal	-S	*
miesiącami	Instrumental	Plural	Masculine	miesiąc	month	Impersonal	-S	*
miesiącach	Locative	Plural	Masculine	miesiąc	month	Impersonal	-S	*
tatom	Dative	Plural	Masculine	tata	dad	Personal	-a	*
tatów	Genitive	Plural	Masculine	tata	dad	Personal	-a	*
chlebom	Dative	Plural	Masculine	chleb	bread	Impersonal	-C	*
chlebów	Genitive	Plural	Masculine	chleb	bread	Impersonal	-C	*
chlebami	Instrumental	Plural	Masculine	chleb	bread	Impersonal	-C	*
chlebach	Locative	Plural	Masculine	chleb	bread	Impersonal	-C	*
kapeluszom	Dative	Plural	Masculine	kapelusz	hat		-S	*
kapeluszami	Instrumental	Plural	Masculine	kapelusz	hat		-S	*
kapeluszach	Locative	Plural	Masculine	kapelusz	hat		-S	*
burakom	Dative	Plural	Masculine	burak	beetroot	Impersonal	-C	*
pająkom	Dative	Plural	Masculine	pająk	spider		-C	*
wieczorom	Dative	Plural	Masculine	wieczór	evening	Impersonal	-C	*
buraków	Genitive	Plural	Masculine	burak	beetroot	Impersonal	-C	*
pająków	Genitive	Plural	Masculine	pająk	spider	Impersonal	-C	*
wieczorów	Genitive	Plural	Masculine	wieczór	evening	Impersonal	-C	*
burakami	Instrumental	Plural	Masculine	burak	beetroot	Impersonal	-C	*
pająkami	Instrumental	Plural	Masculine	pająk	spider		-C	*
wieczorami	Instrumental	Plural	Masculine	wieczór	evening	Impersonal	-C	*
burakach	Locative	Plural	Masculine	burak	beetroot	Impersonal	-C	*
pająkach	Locative	Plural	Masculine	pająk	spider		-C	*
wieczorach	Locative	Plural	Masculine	wieczór	evening	Impersonal	-C	*
pomarańczów	Genitive	Plural	Masculine	pomarańcz	orange	Impersonal	-S	Exception
mężczyzn	Genitive	Plural	Masculine	mężczyzna	man		-a	Exception
końmi	Instrumental	Plural	Masculine	koń	horse		-Ś	Exception
braci	Accusative	Plural	Masculine	brat	brother	Personal	-C	Exception
braci	Genitive	Plural	Masculine	brat	brother	Personal	-C	Exception
owoców	Genitive	Plural	Masculine	owoc	fruit	Impersonal	-S	Exception
bracia	Nominative	Plural	Masculine	brat	brother	Personal	-C	Exception
drzwiami	Instrumental	Plural	Masculine	drzwi	door		-Ś	Exception
drzwi	Accusative	Plural	Masculine	drzwi	door		-Ś	No singular
drzwi	Nominative	Plural	Masculine	drzwi	door		-Ś	No singular
mężczyźni	Nominative	Plural	Masculine	mężczyzna	man	Personal	-a	P-a
doktorzy	Nominative	Plural	Masculine	doktor	doctor	Personal	-C	P-r
kelnerzy	Nominative	Plural	Masculine	kelner	waiter	Personal	-C	P-r
mężczyzn	Accusative	Plural	Masculine	mężczyzna	man	Personal	-a	P: *
doktorów	Accusative	Plural	Masculine	doktor	doctor	Personal	-C	P: *
synów	Accusative	Plural	Masculine	syn	son	Personal	-C	P: *
kelnerów	Accusative	Plural	Masculine	kelner	waiter	Personal	-C	P: *
tatów	Accusative	Plural	Masculine	tata	dad	Personal	-a	P: *
koszmary	Nominative	Plural	Masculine	koszmar	nightmare	Impersonal	-C	Ᵽ-C
metry	Nominative	Plural	Masculine	metr	meter	Impersonal	-C	Ᵽ-C
obiady	Nominative	Plural	Masculine	obiad	dinner	Impersonal	-C	Ᵽ-C
sery	Nominative	Plural	Masculine	ser	cheese	Impersonal	-C	Ᵽ-C
buty	Nominative	Plural	Masculine	but	shoe	Impersonal	-C	Ᵽ-C
długopisy	Nominative	Plural	Masculine	długopis	pen	Impersonal	-C	Ᵽ-C
kolory	Nominative	Plural	Masculine	kolor	colour	Impersonal	-C	Ᵽ-C
listy	Nominative	Plural	Masculine	list	letter	Impersonal	-C	Ᵽ-C
samochody	Nominative	Plural	Masculine	samochód	car	Impersonal	-C	Ᵽ-C
koty	Nominative	Plural	Masculine	kot	cat	Impersonal	-C	Ᵽ-C
pomidory	Nominative	Plural	Masculine	pomidor	tomato	Impersonal	-C	Ᵽ-C
problemy	Nominative	Plural	Masculine	problem	problem	Impersonal	-C	Ᵽ-C
kwiaty	Nominative	Plural	Masculine	kwiat	flower	Impersonal	-C	Ᵽ-C
